open_id,proposed_entity_name,decision_bucket,proposed_manual_classification,evidence_window,region,edss_core_activity,department_signature,kedi_match_evidence,safe_join_action,notes
7579953312,인천가톨릭대학교 조형대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2017,인천 연수구,0101 핵심 활동 전부 0,문화예술기획전공|전시디자인전공,KEDI 인천가톨릭대학교 특수대학원의 본교→제2캠퍼스 및 신설→폐교 흐름이 일치하고 대학 공식 안내가 고유 명칭을 조형대학원으로 명시,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,KEDI 범주명과 대학 공식 고유 명칭을 함께 기록
1751584470,한세대학교목회대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2016,경기 군포시,0101 핵심 활동 전부 0,신학과(목회학박사),KEDI 동일 대학원 폐교 행이 8개 연도 모두 위치·캠퍼스·핵심값과 일치,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
2832937419,동덕여자대학교 미용보건대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2015,서울 성북구,2009년 학과1·재적2·졸업4 이후 잔존 졸업1과 0행,미용보건학과,KEDI 폐교 행의 7개 연도 핵심값이 전부 일치하고 대학 공식 조직·연혁의 미용보건학과 계보가 부합,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,후속 보건과학대학원과 자동 병합하지 않음
6131698310,백석대학교 정보기술대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2015,서울 서초구,0101 핵심 활동 전부 0,컴퓨터학전공,KEDI의 문헌정보대학원·정보기술대학원 0행 중 컴퓨터학전공이 정보기술대학원을 유일하게 지시하고 문헌정보대학원은 별도 OpenID로 확인됨,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
6159198999,가야대학교세라믹국제정보대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2015,경북 고령군,0101 핵심 활동 전부 0,국제통상학전공|세라믹디자인|세라믹재료공학,KEDI 동일 대학원 행이 2009-2015 위치·캠퍼스·핵심값과 일치하며 2014년 이후 폐교 표시,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
2037459135,부산외국어대학교 국제통상대학원,ready_to_record,confirmed_identity_closed_name_change_predecessor_id,2009-2011,부산 남구,0101 핵심 활동 전부 0,아세안통상경영전공|중국통상경영전공,KEDI 국제통상대학원 폐교 0행이 3개 연도 일치하고 학과서명은 국제통상경영대학원과 일치하며 공식 요람이 2009학년도 명칭 적용을 확인,retain_predecessor_open_id_separately_no_auto_join,후속 OpenID 7018181800과 명칭 계보만 연결 가능
4408170342,신경대학교 일반대학원,ready_to_record,confirmed_identity_department_residual_id,2009-2011,경기 화성시,0101 핵심 활동 전부 0,사회복지학과|생명공학과|인터넷정보통신학과,KEDI 신경대학교 일반대학원 행이 3개 연도 위치·본교·핵심값과 전부 일치하고 세 학과가 후속 화성의과학대학교 학과서명과 일치,retain_historical_open_id_separately_no_auto_join,대학 교명변경 계보는 연결하되 자동 병합 금지
4455055356,배재대학교 정보통신대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2019-2021,대전 서구,2020년 졸업1명 외 핵심 활동 0,정보통신학과,KEDI 폐교 행의 3개 연도 핵심값이 정확히 일치하고 배재대학교 공식 연혁에도 정보통신학과 인가가 확인됨,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
5609140694,부산외국어대학교국제경영지역학대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2011,부산 남구,2010년 졸업1명 외 핵심 활동 0,국제경영전공|국제무역학과|아주지역전공,KEDI 폐교 행의 3개 연도 핵심값이 정확히 일치하고 학과 성격도 경영·지역학 조합과 부합,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
6565308511,수원대학교 인공지능대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2018-2020,경기 화성시,0101 핵심 활동 전부 0,인공지능공학과,KEDI에서 금융공학대학원과 인공지능대학원 0행이 겹치지만 인공지능공학과가 후자를 유일하게 지시하고 신설→폐교 흐름도 일치,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
8251157879,서울여자대학교기독교대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2011,서울 노원구,0101 핵심 활동 전부 0,가족상담전공|기독교교육전공|선교학전공,KEDI 동일 대학원 폐교 행이 3개 연도 핵심값과 일치하고 세 전공의 기독교 계열 조합이 사회복지대학원 후보를 배제,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
9257303833,한신대학교 발전학대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2015-2017,경기 오산시,0101 핵심 활동 전부 0,발전학전공,KEDI의 발전학대학원·국제평화인권대학원 0행이 겹치지만 발전학전공이 전자를 직접 지시,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
9437484979,영산대학교 원자력경영대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2013-2016,부산 해운대구,0101 핵심 활동 전부 0,원자력경영전공,KEDI 동일 대학원이 제2캠퍼스에서 신설→기존→폐교로 변하며 EDSS 연도·캠퍼스·핵심값과 일치,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
1542901098,한림대학교 행정대학원,ready_to_record,confirmed_identity_closed_school_residual_id,2009-2010,강원 춘천시,0101 핵심 활동 전부 0,행정학과,KEDI 동일 대학원 폐교 행이 두 연도 위치·본교·핵심값과 모두 일치,retain_closed_graduate_school_open_id_separately_no_successor_auto_join,
